시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
초등학교,송당초등학교,제주특별자치도 제주시 구좌읍 중산간동로 2218-3,제주특별자치도 제주시 구좌읍 송당리 2774-1,33.47090122,126.7811144,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,0,7.5,2022-12-01
유치원,송당초등학교 병설유치원,제주특별자치도 제주시 구좌읍 중산간동로 2218-3,제주특별자치도 제주시 구좌읍 송당리 2774-1,33.47090122,126.7811144,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,0,9~10,2022-12-01
초등학교,하도초등학교,제주특별자치도 제주시 구좌읍 일주동로 3378,제주특별자치도 제주시 구좌읍 하도리 2315,33.51747997,126.877557,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,0,5~6,2022-12-01
유치원,하도초등학교 병설유치원,제주특별자치도 제주시 구좌읍 일주동로 3378,제주특별자치도 제주시 구좌읍 하도리 2315,33.51747997,126.877557,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,0,8~10,2022-12-01
초등학교,한동초등학교,제주특별자치도 제주시 구좌읍 일주동로 2831,제주특별자치도 제주시 구좌읍 한동리 1168,33.53912963,126.8290084,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,3,9~21,2022-12-01
유치원,한동초등학교 병설유치원,제주특별자치도 제주시 구좌읍 일주동로 2831,제주특별자치도 제주시 구좌읍 한동리 1168,33.53912963,126.8290084,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,1,22,2022-12-01
초등학교,조천초등학교,제주특별자치도 제주시 조천읍 신북로 195,제주특별자치도 제주시 조천읍 조천리 3140,33.53565426,126.6343499,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,2,26,2022-12-01
유치원,조천초등학교 병설유치원,제주특별자치도 제주시 조천읍 신북로 195,제주특별자치도 제주시 조천읍 조천리 3140,33.53565426,126.6343499,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,2,10~16,2022-12-01
초등학교,광령초등학교,제주특별자치도 제주시 애월읍 광성로 276,제주특별자치도 제주시 애월읍 광령리 1223,33.45925786,126.4362287,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,N,3,9~16,2022-12-01
유치원,광령초등학교 병설유치원,제주특별자치도 제주시 애월읍 광성로 276,제주특별자치도 제주시 애월읍 광령리 1223,33.45925786,126.4362287,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,N,1,12~34,2022-12-01
초등학교,장전초등학교,제주특별자치도 제주시 애월읍 장전로 122,제주특별자치도 제주시 애월읍 장전리 435,33.44939437,126.3907374,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,1,15,2022-12-01
유치원,장전초등학교 병설유치원,제주특별자치도 제주시 애월읍 장전로 122,제주특별자치도 제주시 애월읍 장전리 435,33.44939437,126.3907374,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,2,7~16,2022-12-01
초등학교,금악초등학교,제주특별자치도 제주시 한림읍 금악남2길 1,제주특별자치도 제주시 한림읍 금악리 1915,33.35664546,126.2963556,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,N,1,3~12,2022-12-01
초등학교,김녕초등학교 동복분교,제주특별자치도 제주시 구좌읍 동복로 66-5,제주특별자치도 제주시 구좌읍 동복리 1367,33.55240328,126.7135735,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,2,13,2022-12-01
유치원,김녕초등학교 동복분교 병설유치원,제주특별자치도 제주시 구좌읍 동복로 66-5,제주특별자치도 제주시 구좌읍 동복리 1367,33.55240328,126.7135735,제주특별자치도 자치경찰단 교통정보센터,제주동부경찰서,Y,1,5,2022-12-01
초등학교,한라초등학교,제주특별자치도 제주시 연화로 42,제주특별자치도 제주시 노형동 754-2,33.4778157,126.4864335,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,2,6~22,2022-12-01
초등학교,도평초등학교,제주특별자치도 제주시 도평길 17,제주특별자치도 제주시 도평동 866,33.48082926,126.4467736,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,3,8~12,2022-12-01
유치원,도평초등학교 병설유치원,제주특별자치도 제주시 도평길 17,제주특별자치도 제주시 도평동 866,33.48082926,126.4467736,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,3,15,2022-12-01
초등학교,물메초등학교,제주특별자치도 제주시 애월읍 엄수로 202-4,제주특별자치도 제주시 애월읍 수산리 1033,33.46618837,126.3914319,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,3,15~18,2022-12-01
유치원,물메초등학교 병설유치원,제주특별자치도 제주시 애월읍 엄수로 202-4,제주특별자치도 제주시 애월읍 수산리 1033,33.46618837,126.3914319,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,0,28,2022-12-01
초등학교,고산초등학교,제주특별자치도 제주시 한경면 고산로1길 16,제주특별자치도 제주시 한경면 고산리 2684-1,33.30452697,126.1768735,제주특별자치도 자치경찰단 교통정보센터,제주서부경찰서,Y,1,16,2022-12-01
