"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
405-2-000061,도남동 664-6 공영주차장,공영,노외,,제주특별자치도 제주시 도남동 664-6,30,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000062,아라1동 6111 공영주차장,공영,노외,,제주특별자치도 제주시 아라1동 6111,41,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000063,삼도1동 560-2 공영주차장,공영,노외,,제주특별자치도 제주시 삼도1동 560-2,33,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000064,이도1동 1696-9 공영주차장,공영,노외,,제주특별자치도 제주시 이도1동 1696-9,12,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000065,용담로18길 공영주차장,공영,노외,,제주특별자치도 제주시 용담1동 244-10,7,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000066,용화마을 공영주차장,공영,노외,,제주특별자치도 제주시 용담2동 655-2,28,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000067,이도2동 1999-1 공영주차장,공영,노외,,제주특별자치도 제주시 이도2동 1999-1,23,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000068,이도2동 2008-1 공영주차장,공영,노외,,제주특별자치도 제주시 이도2동 2008-1,30,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000069,이도2동 2017-1 공영주차장,공영,노외,,제주특별자치도 제주시 이도2동 2017-1,30,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000070,삼도1동 500-14 공영주차장,공영,노외,,제주특별자치도 제주시 삼도1동 500-14,30,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000071,병문천 공영주차장,공영,노외,,제주특별자치도 제주시 삼도2동 1227-7,57,1,미시행,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000072,칠성상가1 공영주차장,공영,노외,,제주특별자치도 제주시 일도1동 1476-1,19,1,미시행,평일,10:00,21:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000073,칠성상가2 공영주차장,공영,노외,,제주특별자치도 제주시 일도1동 1401-13,14,1,미시행,평일,10:00,20:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000074,동문수산시장 공영주차장,공영,노외,,제주특별자치도 제주시 이도1동 1348-1,21,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000075,월랑마을 제1 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 1289-4,26,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000076,월랑마을 제2 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 1280-4,16,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000077,노형로 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 3780,41,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000078,노형동 3792 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 3792,13,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000079,일도2동 1032-4 공영주차장,공영,노외,,"제주특별자치도 제주시 일도2동 1032-4,5",24,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000080,노형동 726-3 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 726-3,18,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000081,오라1동2440-12 공영주차장,공영,노외,,제주특별자치도 제주시 오라1동 2440-12,15,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000082,도남동748-15 공영주차장,공영,노외,,제주특별자치도 제주시 도남동 748-15,11,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000083,삼양1동1547-10 공영주차장,공영,노외,,제주특별자치도 제주시 삼양1동 1547-10,18,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000084,무근성 공영주차장,공영,노외,,제주특별자치도 제주시 삼도2동 1159-9,39,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000085,용담2동 774-5 공영주차장,공영,노외,,제주특별자치도 제주시 용담2동 774-5,27,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000086,연동 1458-2 공영주차장,공영,노외,,제주특별자치도 제주시 연동 1458-2,19,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000087,노형동 2589-1 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 2589-1,26,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000088,노형동 2595-7 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 2595-7,35,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000089,노형동 3812-3 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 3812-3,47,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000090,일도2동 공작물 공영주차장,공영,노외,,제주특별자치도 제주시 일도2동 1036-6,32,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000091,민속오일시장 공영주차장,공영,노외,,제주특별자치도 제주시 도두1동 1212,271,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000092,외도동 다목적문화센터 공영주차장,공영,노외,,제주특별자치도 제주시 외도1동 530-4,71,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000093,시민회관 남측 공영주차장,공영,노외,,제주특별자치도 제주시 이도1동 1704-6,46,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000094,동광 공영주차장,공영,노외,,제주특별자치도 제주시 일도2동 82-8,81,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000095,노형 제5 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 3793,141,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000096,정든로 공영주차장,공영,노외,,제주특별자치도 제주시 이도2동 429-7,62,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000097,도두매립 1 공영주차장,공영,노외,,제주특별자치도 제주시 도두1동 2630,34,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000098,도두매립 2 공영주차장,공영,노외,,제주특별자치도 제주시 도두1동 2618-1,29,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000099,버스회차지 공영주차장,공영,노외,,제주특별자치도 제주시 삼양1동 1579-1,14,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000100,비치조아 맞은편 공영주차장,공영,노외,,제주특별자치도 제주시 삼양1동 1598-2,38,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000101,삼부장미아파트 남측 공영주차장,공영,노외,,제주특별자치도 제주시 삼양1동 1628-7,52,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000102,해수사우나 동측 공영주차장,공영,노외,,제주특별자치도 제주시 삼양1동 1657-8,104,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000103,동명아파트 북측 공영주차장,공영,노외,,제주특별자치도 제주시 삼양2동 2133-5,75,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,,,2023-04-13
405-2-000104,한샘어린이집 맞은편 공영주차장,공영,노외,,제주특별자치도 제주시 삼양2동 2176-13,79,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,,,2023-04-13
